Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
F11	5	12	15	17	18	18	18	19	19	19	19	20	21	22	23	24	24	25	26	27	28	29	39	31	33	34	35	35	36	37	39	40	41	42	43	44	46	46	48	49	51
F12	5	12	15	17	18	18	18	19	19	20	20	21	22	23	24	25	26	28	28	30	30	31	42	34	35	36	37	38	39	40	42	43	45	46	47	48	49	50	51	52	54
G1	5	12	15	17	18	18	19	19	21	22	24	28	33	39	47	53	60	67	77	87	96	105	126	126	139	151	163	178	191	207	220	237	253	270	286	303	326	342	360	382	413
G2	4	12	15	17	18	18	18	19	20	21	24	26	30	35	43	48	53	59	66	75	83	93	111	111	121	133	142	155	166	179	192	207	220	235	251	266	281	296	316	333	352
G3	5	12	15	16	18	18	19	19	19	19	20	20	22	23	24	25	25	26	27	28	29	30	40	32	33	33	34	35	37	38	39	41	41	43	44	44	46	46	47	47	49
G4	5	12	15	17	18	18	19	20	21	22	24	27	31	36	43	48	52	58	64	71	79	88	106	105	115	125	135	145	156	170	182	195	209	223	234	252	266	281	298	316	332
G5	5	11	15	17	18	18	18	19	19	19	19	18	19	19	20	19	20	19	19	19	19	19	29	20	20	20	21	20	21	21	21	23	22	23	23	23	24	24	24	25	26
G6	5	12	15	18	18	18	19	19	19	19	20	20	21	22	23	24	25	25	26	27	28	29	39	31	32	33	34	35	35	36	37	39	41	41	42	43	44	45	46	47	48
G7	5	12	15	17	17	18	18	18	19	19	19	20	21	22	22	24	24	25	26	27	28	29	39	31	32	33	33	34	35	37	38	40	41	41	42	44	44	45	47	48	49
G8	4	12	15	18	18	18	19	19	19	19	20	20	22	23	24	24	25	26	27	27	28	30	40	31	33	33	34	35	36	37	38	40	41	42	43	43	44	45	47	48	51
G9	5	12	15	17	18	18	18	19	19	19	20	20	21	22	23	24	25	26	27	28	28	30	39	31	33	34	34	35	36	37	38	40	41	42	42	44	45	46	46	48	50
