Well	Strain	Hour	OD600_fit
B2	s245s	15	0.764066836313608
B2	s245s	16	0.796127182231243
B2	s245s	17	0.817586719205236
B2	s245s	18	0.831608608566425
B2	s245s	19	0.840626929180778
B2	s245s	20	0.846368302006775
B3	s245s	1	0.00965328241609446
B3	s245s	2	0.0151504249335281
B3	s245s	3	0.0236898562080983
B3	s245s	4	0.0368304832617987
B3	s245s	5	0.0567602703377047
B3	s245s	6	0.0863314671335684
B3	s245s	7	0.12881132170654
B3	s245s	8	0.187082071911854
B3	s245s	9	0.262149163013186
B3	s245s	10	0.351403144370646
B3	s245s	11	0.447942934883499
B3	s245s	12	0.542239638035573
B3	s245s	13	0.625603433645639
B3	s245s	14	0.693049222356455
B3	s245s	15	0.743809247184129
B3	s245s	16	0.779970237426411
B3	s245s	17	0.804735117771565
B3	s245s	18	0.821240791439716
B3	s245s	19	0.832043454932069
B3	s245s	20	0.839029673912721
B4	s245s	1	0.0099424273294508
B4	s245s	2	0.0156492503169555
B4	s245s	3	0.024536205768982
B4	s245s	4	0.038239023479562
B4	s245s	5	0.0590480420835494
B4	s245s	6	0.0899287214151067
B4	s245s	7	0.134223650610682
B4	s245s	8	0.194756511781269
B4	s245s	9	0.272227169821802
B4	s245s	10	0.363458416359392
B4	s245s	11	0.460933619236995
B4	s245s	12	0.554828470319739
B4	s245s	13	0.6366673319478
B4	s245s	14	0.702008490021537
B4	s245s	15	0.750619868704616
B4	s245s	16	0.784917424026016
B4	s245s	17	0.808220684625735
B4	s245s	18	0.823651172747782
B4	s245s	19	0.833695030135063
B4	s245s	20	0.84015994500362
B5	s245s	1	0.008322799956394
B5	s245s	2	0.0130531196309216
B5	s245s	3	0.0204058668177273
B5	s245s	4	0.031741115460061
B5	s245s	5	0.0489958848408497
B5	s245s	6	0.074761320359768
B5	s245s	7	0.112151366741279
B5	s245s	8	0.164220432128015
B5	s245s	9	0.232718801760663
B5	s245s	10	0.316383021253322
B5	s245s	11	0.409779936750293
B5	s245s	12	0.504128199187255
B5	s245s	13	0.590291724811689
B5	s245s	14	0.662026806241524
B5	s245s	15	0.717289620536966
B5	s245s	16	0.757370706246239
B5	s245s	17	0.785186489899265
B5	s245s	18	0.803904549846404
B5	s245s	19	0.816240704768838
B5	s245s	20	0.824259569300876
B6	s245s	1	0.00862419001507428
B6	s245s	2	0.0136626652148359
B6	s245s	3	0.0215686429322495
B6	s245s	4	0.0338626321916322
B6	s245s	5	0.0527143426216089
B6	s245s	6	0.081010084851233
B6	s245s	7	0.122146333909807
B6	s245s	8	0.179256316208238
B6	s245s	9	0.253669963624785
B6	s245s	10	0.343007423732395
B6	s245s	11	0.440295828405509
B6	s245s	12	0.535610191728644
B6	s245s	13	0.619790531513273
B6	s245s	14	0.687592954958034
B6	s245s	15	0.73826450942393
B6	s245s	16	0.774054043921823
B6	s245s	17	0.798335888114336
B6	s245s	18	0.814363945121959
B6	s245s	19	0.824752879976811
B6	s245s	20	0.83140742458244
B7	s245s	1	0.00811353087240401
B7	s245s	2	0.0128451461272819
B7	s245s	3	0.0202681997469807
B7	s245s	4	0.0318142369054871
B7	s245s	5	0.049535979344326
B7	s245s	6	0.0761888715184019
B7	s245s	7	0.115071992079302
B7	s245s	8	0.169349772567246
B7	s245s	9	0.240630241329857
B7	s245s	10	0.327091912941318
B7	s245s	11	0.422410052686573
B7	s245s	12	0.517031782523698
B7	s245s	13	0.601673714712454
B7	s245s	14	0.670620327213168
B7	s245s	15	0.722623761341833
