Well	Strain	k	k_se	k_p	n0	n0_se	n0_p	r	r_se	r_p	sigma	df	t_mid	t_gen	auc_l	auc_e	note
A11	s245s	0.849627339948489	0.00648310900585356	4.40943375247012e-52	0.00288528974866148	0.000439778869837565	9.72038135751784e-08	0.545149958631652	0.0152836621982292	7.96767970871646e-31	0.016947080547797	38	10.4223997183875	1.27147983703378	8.14048382925231	8.05897508002817	""
A12	empty	0.000500001013279003	0.000455995260413777	0.279758373541967	0.00319270238768909	0.0004424031743728	1.25431778352267e-08	0.0486349283371243	0.0682164737751912	0.480232245319123	0.000573695383103393	38	-3.50206712241556	14.2520448628039	0.0251129955883039	0.0203000064939258	questionable fit (k < n0)
B1	s245s	0.851913485894506	0.0113487541662376	6.36810298006652e-43	0.00523634257076549	0.00116688219255424	6.48745855802518e-05	0.499834816339395	0.0231581672651955	6.27375663575099e-23	0.0286399454232073	38	10.1747537527834	1.38675249882811	8.37225833810012	8.24652498401701	""
B2	s245s	0.856135958219228	0.0107308958491562	6.37874939550464e-44	0.0061965546705236	0.00113540053420353	3.15597628995719e-06	0.469152484341923	0.0187205871873844	3.09487669242953e-25	0.024600128227534	38	10.4894928236657	1.47744540142896	8.14997063593232	8.02739999070763	""
B3	s245s	0.851359273133032	0.0111084724799775	2.90920635216195e-43	0.00613607333693541	0.00110289138607974	2.2589467100077e-06	0.457282949008156	0.0180126538101614	1.94572078594462e-25	0.0238685821034424	38	10.7710460865106	1.51579494066721	7.87084823912073	7.74932503700256	""
B4	s245s	0.851451589685307	0.0101662196508773	1.01764306547972e-44	0.00630102616805615	0.00105416079958547	6.11611940825749e-07	0.460416576505982	0.016932997409771	1.63673412123442e-26	0.0224181890384645	38	10.6399346574058	1.50547833403418	7.98059505218394	7.86665004119277	""
B5	s245s	0.838528041614869	0.0108670817987409	2.25174194135974e-43	0.00529570339328531	0.000931487518525369	1.5388968856694e-06	0.455742491552905	0.0171590295342618	3.82238186765804e-26	0.022114117613826	38	11.0992869947382	1.52091848666141	7.48341827271313	7.36662493273615	""
B6	s245s	0.842859155809778	0.00956763280389895	1.50543784300163e-45	0.00543161680389014	0.000885013951288941	3.68971137840846e-07	0.466153846766582	0.016211197291985	2.14998012535595e-27	0.0208157843639117	38	10.8078007523633	1.48694939528629	7.76077444467284	7.64930009655654	""
B7	s245s	0.831477886040403	0.00989486342318322	8.97730226236095e-45	0.0051139570331136	0.000867535122000598	7.93673845043271e-07	0.465196120960043	0.0167091955991431	6.95258213498889e-27	0.0210873697968557	38	10.9310064387366	1.49001066287799	7.55575076136394	7.44337506406009	""
B8	s245s	0.82537986286351	0.00934350532418445	1.35682511642951e-45	0.00487717165385247	0.000824651233084081	7.46462350996626e-07	0.474767862338926	0.0167783305355409	3.85649980996182e-27	0.0207116266879663	38	10.7954900159467	1.45997072578835	7.60876995666192	7.50042491778731	""
B9	s245s	0.827336878457319	0.00893463682110679	2.28294588059829e-46	0.00486036687527202	0.000828070945288359	8.59740778820676e-07	0.486368031507234	0.0171935948384587	3.90003774998294e-27	0.0209615567983777	38	10.5500478417155	1.4251495486081	7.82534980538188	7.71777505613863	""
B10	s245s	0.829104434339362	0.00841436738743282	2.17429037689167e-47	0.00404197008755441	0.000684994587550014	7.78966362557094e-07	0.49986594812517	0.0168847296475658	7.44625489086573e-28	0.0199548190255278	38	10.640306464393	1.38666613150927	7.76739871888136	7.66524993814527	""
B11	s245s	0.854552807957657	0.00815193324404931	2.08512363170735e-48	0.00432460170278437	0.000698140664897673	3.08095038323371e-07	0.502803121368289	0.0162644728829222	1.5323873722057e-28	0.0197955798572072	38	10.5034844110043	1.37856578669136	8.12093398928517	8.01747504808009	""
B12	s245s	0.857024307650182	0.00773242236807944	2.52629154907152e-49	0.00338617517650034	0.000626566746158194	3.73265185337868e-06	0.553112390669949	0.0192675416528357	2.28496020445147e-27	0.0214913821873996	38	9.9976179288315	1.25317601314334	8.57226845835415	8.47344999574125	""
C1	s245s	0.851454614821475	0.0113837307220346	7.2995268265997e-43	0.00507676705864805	0.00121136452862767	0.000159601740866727	0.516258364809385	0.0252941984693538	4.45205054636722e-22	0.0304332666827615	38	9.91033091953361	1.3426362221092	8.59002548956975	8.46260005049407	""
C2	s245s	0.838458082570875	0.00960438919800037	2.12140532881782e-45	0.00448848436075612	0.000804853237198035	2.1671315458737e-06	0.485188937121019	0.0177612690446148	1.38314771169252e-26	0.0217961133410153	38	10.7683449952384	1.4286129124726	7.75057258860698	7.63655007071793	""
C3	s245s	0.846194103349911	0.0104352600790522	3.45131497463775e-44	0.00518667828666388	0.000935315704047334	2.39281803477725e-06	0.470221655585788	0.0178887624377113	5.55761438166598e-26	0.0228398228724701	38	10.8215071719875	1.4740860450088	7.77959493345333	7.66084999963641	""
