Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180
D7	11992	11505	11139	11137	10958	10743	10708	10339	11028	10349	10423	10534	10310	10735	10949	10693	10750	10843	10841	10752	10648	10959	10943	11135	10996	11073	11330	11068	11062	11131	11184	11523	11341	10990	11613	11185	11007	11293	11131	11490	11320	11758	11740	11897	11826	12701	12100	12641	13322	13146	13660	13693	14021	14646	14900	15534	15525	15990	16492	16567	17034	16980	17651	17709	18537	18634	19330	19850	20139	20255	21203	21335	21690	22684	22388	23282	23768	24687	24640	24920	25484	26051	26927	27449	27572	28843	28620	29416	29399	30508	30394	30662	31565	31886	32023	32646	32945	34112	34316	34625	34817	34972	35562	36005	36741	36350	37543	38001	37962	38708	39174	39050	39554	40079	40490	41030	41225	41709	41955	43017	43318	43432	44501	45091	46148	45418	45380	46181	47072	47375	48220	48293	48088	49341	49704	50279	51235	50999	51430	52181	51838	53010	53485	53288	53832	54261	55383	55458	56116	56312	57456	56627	57099	57014	58061	57893	59157	59967	59690	59674	60410	60888	OVER	OVER	OVER	61084	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
D8	12161	11556	11179	10584	10557	10415	10252	9842	9912	10445	10298	10256	10539	10410	10702	10287	10920	10631	10423	10398	10782	10596	11029	10822	10956	10903	10859	11025	11048	11307	10906	10626	11233	10966	10988	10945	10816	10911	11460	11141	11084	11348	11715	11860	11712	12329	12461	12823	12662	12988	13727	13826	13694	14309	14744	15032	15710	15832	16541	17054	17228	17326	18008	18242	19233	19104	19662	19820	20914	21376	21599	21520	22736	22725	23189	23756	23617	24489	25429	25757	26118	26621	27402	27273	28004	28337	29107	29548	30220	29825	30400	30998	31392	32773	32363	33141	33083	34478	34424	34582	34865	35222	35693	35916	36754	37153	37950	37414	38326	38504	39199	39460	39904	40052	40838	42000	42754	42887	42033	42841	43037	44389	44540	45155	45383	45770	45981	46643	47260	47230	48995	48873	49039	50239	50648	50814	51734	52200	52328	53208	53226	54501	54216	54076	55739	55519	55909	55732	57084	57133	57636	58311	57777	59043	59252	58960	60927	61274	61199	61025	61200	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
D9	12192	11860	12035	11470	11143	10974	10904	10890	10481	10708	10883	10807	11359	10958	10971	10981	11126	10980	11350	11030	11288	11496	11539	11483	11336	11583	11761	11612	11772	11299	11424	11798	11579	11516	11828	11802	11307	11640	11376	11427	11597	12030	12167	12392	12065	12791	12866	12932	13531	13863	14405	14545	14378	14584	15385	15839	16115	16615	16758	17639	16958	18363	18191	18566	19488	19833	20399	20697	21070	21593	22065	21822	22834	23031	23667	23904	24508	25029	25274	26381	26350	26858	27849	27755	28233	29005	28858	29163	29680	30976	30879	31916	31914	32411	32072	33129	33695	34346	34554	35068	35011	35353	36517	36204	37463	37130	37155	38444	38770	38774	39402	39365	39830	40507	40848	40795	41474	42176	42652	43085	43314	43665	44611	44667	45638	45656	45700	46557	47171	47235	47965	48214	48486	49217	50427	50305	51178	51900	52617	51814	53911	54216	53362	54090	54434	54935	55603	56431	56992	58148	57984	57364	57923	58553	59136	59558	59894	60449	60617	60560	60583	60614	61314	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
D10	12612	11859	11809	11819	11183	11111	10982	10363	10639	10685	10582	10676	10637	10588	11060	11054	11049	10949	11370	11488	11526	11946	12278	13252	13399	13848	14276	14407	15383	15712	15956	16265	17110	17689	18180	18227	18737	19444	19346	20212	20310	20971	21533	22442	22113	22610	23034	23768	23682	24073	24221	24751	24972	25307	25402	25790	26037	26043	26974	27238	27406	27670	27895	27973	28741	29217	29426	28933	29583	30173	30068	30816	31085	31735	31579	31992	32682	32529	33540	33698	33929	34813	35350	34892	35244	36153	36226	36757	37381	37212	38824	38638	39079	39367	39754	40488	40878	41749	42548	42493	43252	43446	43933	44484	45228	45620	46275	46851	47147	47338	47022	49133	49764	50118	51310	51387	51546	52401	52390	52923	53859	53883	54647	55354	55439	55415	55359	55128	56517	57466	56797	57499	58060	58637	59538	58531	59391	60494	60785	OVER	60735	OVER	OVER	OVER	60939	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
D11	12649	11840	11844	11247	11471	10885	10983	10592	10268	10404	10604	10484	10557	10720	10651	10968	10924	10982	11508	11559	11486	11978	12268	13022	13013	13881	14296	14235	15639	15934	16115	16810	16943	17741	18353	18256	19141	19243	19836	20613	21027	21408	21668	22226	22789	22727	24086	24166	24823	24933	25403	25380	25768	26074	26122	27176	27743	27814	27898	28533	28823	29067	29755	29968	30067	30397	30935	31003	31552	32534	32271	32938	32686	34048	33541	34498	34768	35122	35255	36013	36877	36734	37348	37324	38260	38800	39254	39612	40760	40751	41102	41271	41952	42934	43046	44318	44674	45576	45692	45855	46858	47347	48155	48432	49578	49981	49492	51377	51491	52042	52717	53573	54304	55045	55308	55526	56436	56897	57697	57859	58163	59516	59644	59860	61090	OVER	OVER	61483	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
D12	12652	12030	11972	11468	11771	11605	11255	10964	10829	11016	10975	11048	11135	11109	11080	11469	11415	11428	11467	11782	12487	12419	12626	13114	13530	14149	14971	15269	15573	16110	16910	16871	17800	18303	18697	19265	19463	19854	20906	21486	21673	22033	22345	23496	23816	23923	24154	24274	24538	25228	25600	25635	26415	26424	26825	26727	27384	28120	28365	28276	28181	29009	29861	30483	30362	30393	31421	31613	31769	31861	32912	32826	33563	33692	33188	34676	34727	35861	35306	35416	36233	36040	37389	37301	37989	38499	39637	39112	40239	40739	41184	41656	41468	42317	42915	43601	44653	45069	45475	46562	46853	47141	47663	49115	49641	49990	50382	52233	52065	53114	53394	54352	55111	55203	56613	57313	57333	58159	58710	58417	59644	59939	60589	60534	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
E1	30093	27049	23767	21181	19914	18715	17435	15837	15171	13566	13029	12614	12344	11926	11994	11766	11743	11256	12082	11964	12343	12844	13133	13679	14645	14480	15508	16016	16772	17394	17986	18147	19287	19527	20191	20819	20631	21556	21784	22235	22775	23059	23366	23958	24571	25224	25336	25993	25860	27071	27515	27954	28056	28740	29461	29667	30891	30900	30888	31638	31796	32603	33316	33795	34365	35323	35451	36208	36733	36838	37474	38558	38974	38690	39720	40303	40221	41248	41118	42315	43396	43819	44098	45120	44597	45286	46000	46856	47499	47378	47788	49325	49016	49608	50050	50403	50885	51874	51561	51912	52719	52499	53091	53869	53770	54950	54395	55498	54771	56486	56360	56957	57117	58428	58412	58388	57930	59532	58699	58659	59976	59612	60125	60238	OVER	OVER	60331	OVER	61516	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
E2	26262	22673	20447	18409	17209	16155	15400	14469	13642	12921	12746	12682	12450	11905	11758	11699	12177	12026	12114	12488	13092	13192	14030	14621	15558	16401	16245	17032	18167	18547	18704	19041	19747	20422	20888	21062	21509	21982	22334	22954	23364	24011	24237	24333	25443	25864	25619	26468	27187	27212	28466	28213	28812	29393	29944	30282	30883	31709	31691	31682	32314	32826	34467	33546	34942	35215	36415	36425	36946	37087	37372	38265	38241	39518	39401	40436	39708	41004	41382	41975	41934	43084	43446	44254	43909	44598	45054	46034	46896	46965	47292	47817	47668	48531	49505	49345	49377	49612	51152	51271	51868	51914	52496	53091	53146	53281	54421	53775	55022	55316	55258	55520	56239	56706	57330	57706	57458	58710	59069	57760	59098	59486	59432	59816	59724	59659	OVER	OVER	OVER	OVER	OVER	60673	60571	61823	61207	OVER	OVER	61771	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
E3	33673	29992	26826	24063	22243	20457	18933	17270	15381	14244	12786	12339	11769	11576	11212	11409	11315	10917	11003	10913	11009	11641	11657	12214	12638	12587	12894	13953	14736	15519	15990	16521	16523	17244	17815	17890	18923	19530	19934	20331	20700	20816	21504	21980	22051	23095	23509	23907	24163	24544	25389	25361	25494	26490	26583	27481	27563	28095	28629	29092	28813	29762	30793	30790	31617	31870	32686	32802	33631	33675	34066	34795	35759	35858	36176	37271	37090	38214	38280	39044	39779	40168	41598	41283	41101	42159	42172	43126	43771	44322	44281	45162	45595	46434	45711	46519	47457	48455	48500	48427	49122	50158	50187	50943	50999	51811	52293	52298	53666	53575	53380	53932	54983	55985	56692	55552	56169	56869	56864	57617	57392	57731	57835	58037	59816	59586	59648	OVER	60872	60705	61356	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
E4	38748	36763	33507	31336	29162	27709	25692	22944	20855	18855	16881	16018	15533	15302	15030	14367	14323	13345	13485	13459	13333	13371	13352	12977	12905	13000	12636	13141	12741	12512	12637	12231	12161	12629	12789	12749	12628	12488	13046	12409	12437	12140	12262	12530	12285	12218	12622	12430	12709	12305	12720	12408	12355	12625	12768	12590	12937	12502	12285	12834	12302	12585	12574	12356	12282	12573	12525	12897	12773	12545	12588	12415	12507	12327	12223	12410	12470	12564	12318	12391	12349	12200	12660	12520	12396	12174	12450	12782	12385	12260	12308	12587	12175	12548	12659	12437	12380	12595	12524	12562	12390	12549	12529	12493	12463	12292	12154	11877	12650	12350	12500	12438	12448	12734	12466	12311	12654	12455	12783	12542	12624	12548	12532	12906	12532	12511	12662	12652	12477	12500	12560	12322	12416	12379	12596	12576	12157	12599	12714	12722	12487	12892	12714	12465	12626	12330	12617	12675	12639	12580	12790	12499	12091	12789	12720	12835	12768	12713	12701	12718	12637	12952	12702	12350	12801	12761	12886	12872	13106	13334	12799	12737	12866	13104	12750	12918	12904	13035	13116	12997
E5	34793	31909	29653	26987	25094	23457	21569	18995	17697	16360	15713	15426	14717	15022	14168	13920	13643	13173	13627	13109	13233	12778	12874	13089	13340	12742	12267	12536	12800	12683	12687	12265	12389	12427	12434	12707	12298	12449	12157	12606	12275	12500	12610	12527	12261	12209	12710	12587	12230	12131	12310	12357	12330	12490	12435	12474	12574	12703	12336	12368	12442	12456	12334	12193	11937	12609	12565	12605	12547	12203	12331	12171	12738	12303	12257	12577	12040	12187	12460	12014	12460	12263	12708	12564	12381	12171	12257	12605	12227	12155	12327	12330	12555	11952	12591	12368	12159	12377	12348	12335	12199	11952	12375	12123	12183	12508	12654	12009	12440	12354	12596	12056	12526	12321	12146	12534	12524	12902	12596	12044	12620	12632	12554	12037	12439	12437	12257	12703	12289	12274	12622	12839	12688	12537	12181	12891	12601	12361	12182	12372	12719	12762	12640	12129	12560	12520	12307	12562	12509	12363	12404	12397	12249	12163	12575	12770	12342	12873	12538	12575	12187	12744	12673	12663	12353	12751	12395	12495	12885	12738	12938	12572	12638	12617	12483	13052	12792	12636	12581	13054
E6	42105	39148	36491	33660	31995	30023	28084	26095	23994	21022	18396	16874	15081	14718	14315	13688	13459	13406	13412	12800	13004	12783	12654	12659	12942	12466	12367	12416	12415	12551	12597	12194	12491	11863	12196	12100	12132	11970	12124	12224	11985	11996	12552	12292	12279	12314	12771	12375	12348	12040	12321	12335	12349	12074	12426	12183	12439	12152	12225	12277	12325	12187	12565	12120	12526	12120	12717	12407	12485	12166	12068	12039	12355	12076	12213	12094	12121	12015	12401	12290	12335	12268	12482	12298	12247	12381	12363	12090	12079	12333	12229	12364	12342	12247	12289	12521	12593	12326	12231	12305	12777	12548	12535	12599	12519	12292	12499	12523	12311	12288	12336	12539	12290	12587	12444	12336	12529	11977	12363	12665	12383	12560	12825	12403	12676	12683	12474	12851	12353	12644	12560	12270	12241	12449	12650	12715	12555	12377	12489	12143	12668	12548	12655	12442	12659	12475	12704	12207	12645	12609	12436	12898	12334	12478	12592	12595	12972	12606	12367	12630	12690	12547	12508	12501	12554	12899	13016	13055	12880	12608	12579	12940	12916	13046	12559	12628	12919	12957	12659	12999
E7	38566	35354	31881	28380	26113	24579	22472	21056	19077	18270	16901	16683	15982	15727	15532	15207	15260	15282	15189	15225	14854	14355	14615	14471	14112	13965	14103	14326	13766	14248	14040	13769	13783	13730	13836	13481	13484	13357	13176	13566	13416	13210	13257	13604	13350	13276	13521	13088	13310	13658	13474	13484	13336	13495	13266	13485	13874	13919	13723	13867	13526	13429	13252	13627	14070	14015	13964	14171	14303	14357	14777	14666	14756	14877	14654	15220	15548	16476	16383	16861	17493	17250	17950	18357	18786	19045	19395	19565	20360	21295	21427	21886	22527	22962	23472	24403	24638	25230	25555	25700	26519	27201	27891	28097	29385	29305	30042	30291	31266	32021	31820	32938	32683	33969	34739	35130	35901	36212	36663	36793	38029	37523	38142	38532	39090	40212	39747	40166	41428	41745	41443	41830	42172	42924	43324	43235	44489	44456	44724	45561	46051	47062	46526	46812	47990	48687	47819	47830	49096	48884	49801	49066	49607	50249	51847	51322	52242	51933	52445	52668	52546	53032	53557	54683	54551	54924	54197	55136	55355	55979	56480	56770	55693	56521	56456	56817	57805	57349	57481	58444
E8	33293	29904	26842	24177	22105	20768	18908	17737	17372	16598	16087	16385	15818	16193	15699	15995	15196	15594	15378	15130	15334	14784	14792	14907	14720	14442	14427	14638	14137	13973	14158	13683	14094	14002	13800	13836	13484	13552	13367	13625	13708	13546	13938	13845	13793	13780	13955	14065	14118	13809	14385	14219	14000	14372	14081	14227	14268	14629	14676	14575	14928	15227	15639	15806	16028	16607	16664	16999	17403	17689	18203	18347	18965	19624	19811	20752	20716	22005	21595	22388	23079	23023	24138	24654	25172	25665	25794	26688	27284	28123	28194	28595	29162	29709	30724	31222	31017	32117	32350	32917	33392	33824	34359	34967	35757	35935	36658	36763	37233	37812	37951	38893	39193	39974	40536	40969	40616	41415	42359	42501	43619	42895	43709	44128	44712	44948	45284	45423	46318	46018	47267	47588	47416	47247	48366	48536	49352	49890	49657	49992	50823	51523	50927	52237	52234	52439	52667	52543	53517	54017	54421	53879	54248	55189	55129	55861	56250	56669	57517	57125	57831	57924	57923	57251	58364	59242	58501	59702	60046	60255	OVER	60493	61161	61231	60853	60396	OVER	OVER	OVER	61754
E9	42385	38229	35093	32290	29881	27608	25363	23297	21507	19967	18262	16882	16239	15246	15244	14787	14672	14034	14362	14382	14306	14072	14293	14256	14156	13940	14023	13776	13677	13781	13525	13474	13848	13959	13445	13500	13361	13383	13502	13401	13057	13399	13423	13208	13410	13336	13736	13406	13223	13198	13577	13252	13502	13556	13863	13457	13940	13853	13982	14401	14241	14140	14839	14628	14976	14816	15715	16282	15677	16381	16576	17064	17573	17977	18244	19004	19215	20135	20034	20849	21238	21673	22257	23107	23261	23657	24476	24618	25797	25960	26415	27462	27891	27815	28441	29190	29633	30335	30538	31327	33011	32258	32691	33393	33576	34118	34629	35464	35567	36058	36313	37175	37817	38377	38524	38476	39427	39449	40836	40832	41941	41283	42290	42838	43177	43595	44182	43976	44508	44891	45310	44960	45505	46726	46533	46743	47601	47619	48789	49059	49224	49799	50249	50568	50627	51382	51262	51250	50929	52307	52220	53098	52871	52717	54404	53604	53993	55254	54617	55377	55431	56173	56431	56780	55994	57481	56390	58123	57642	59148	58413	58496	58626	59118	59623	59040	60062	OVER	59780	59707
E10	35242	31277	27759	24578	22688	21095	19123	17341	16324	15146	13745	13270	13082	12749	12339	12535	12482	11917	12336	12555	12887	13267	13847	14378	14929	15306	15927	16250	16667	17697	17748	18540	18720	19455	19876	20643	20570	20951	21529	21786	21915	22491	23781	23958	24267	25398	25750	25870	26125	26861	27682	27709	28680	28396	29539	29549	29901	31180	30893	31564	31338	31696	32269	32912	32428	33872	34359	34385	35284	35661	36384	36713	37048	37174	37556	38238	38932	38898	39066	39864	39951	40170	41864	42024	42256	42810	42710	42727	43974	44313	45224	45412	46349	45737	46754	46958	47389	47886	48558	47993	48035	49075	49446	50276	50701	50826	50941	51608	52800	52371	53173	53941	54345	54392	54426	55245	55057	55635	56783	56680	57447	57401	57212	57621	57732	58335	58347	58331	58298	58016	59394	59521	58816	OVER	60384	59090	59297	60544	OVER	60974	61655	OVER	OVER	61703	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
E11	29846	25893	22551	19750	18502	16837	16028	15244	14367	13771	13105	12923	12223	12433	12287	11951	12359	12242	12669	12750	13521	13667	14520	15084	15787	16490	16624	17184	17808	18300	18584	19457	20185	19834	20675	21336	21296	21706	22025	22941	23277	23750	24288	24733	25239	26293	26580	27414	27469	27671	28190	28559	28282	29342	29765	30326	30890	31165	31706	32425	32301	33194	33143	33297	34575	35134	35459	35390	36465	35976	36391	37580	37627	38542	38996	38722	39259	39985	39663	41006	41391	41698	42350	43137	43102	42838	43377	44633	45437	46478	45286	46659	46496	46526	47499	47687	48251	48484	48962	49126	50566	50236	51043	50914	51682	52173	51764	52546	52995	53659	53870	54083	55086	55426	55668	55477	57618	57160	56936	57064	58709	57612	58238	58560	58517	58908	59237	60023	59364	60738	60096	60395	59831	59855	61393	61237	60798	OVER	61324	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
E12	37398	33188	29465	25502	23890	21420	19157	17401	16260	14611	13805	13089	12695	12211	12307	11852	12034	11891	11596	11688	11990	12171	12307	12659	13031	13853	13618	14646	14910	16003	16101	16608	16660	17727	17836	18398	19229	19393	19733	20113	21231	21607	22344	22500	23309	23859	24659	25209	25378	26206	26237	26684	27600	27679	28241	29295	28994	30218	29980	30613	30519	31444	32213	32329	33220	33746	34505	34165	35268	35562	34926	36602	36483	36397	37133	37732	37894	38565	38693	39789	39618	40380	40762	42225	41950	42598	43237	43591	43730	44119	44826	45548	45248	46285	46249	46975	47464	48029	48779	48737	49564	49387	50387	50034	51001	51082	51665	52204	53119	53057	53805	53877	54267	55511	55739	56103	55528	57485	57456	56767	58272	57505	57720	58140	58945	59439	59173	60141	60450	60297	60764	60792	61242	OVER	OVER	60963	OVER	OVER	61518	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
F1	30066	26681	24341	22307	20963	19533	18375	17454	15849	15048	14207	13691	13140	12551	12951	12060	12312	12530	12355	12561	12493	12689	13576	13754	14137	14555	15044	15753	15798	16896	17056	17925	18299	18834	19008	19830	19926	20039	20542	21052	21631	21828	22401	23224	24300	23998	24579	24678	25652	25597	25861	26864	26928	28054	28456	28811	29056	30108	30675	31297	31743	31788	32359	32574	33499	34552	34799	35686	35107	36185	36256	37579	37960	37520	38716	39280	39476	40154	40749	41575	42193	42436	43160	45141	43939	44490	44727	45793	46797	47537	47460	47917	48729	49178	49672	50285	50308	51100	51514	51886	53436	53463	52984	53852	54787	54468	55650	55747	56623	56806	57318	58526	58546	59329	59097	59152	60043	60328	60755	61065	OVER	60469	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
F2	29733	26768	23723	22313	20033	19204	18040	17181	16024	14786	14004	13399	13450	12918	12810	12326	12880	12480	12672	13004	13063	13483	13718	14397	14806	15055	15513	15928	16549	16891	17318	17536	18282	18868	19085	19561	19553	20217	20662	20798	21572	21992	22224	22569	23243	24079	24380	25058	25138	25582	26184	26580	27014	27600	28569	28899	28793	29739	29914	30736	31132	31762	32369	32909	33378	34169	34974	35164	35021	36030	36242	36988	37535	38489	38524	39369	39436	40837	41150	41375	41994	42553	43581	43679	44032	45316	45037	45702	46264	46819	47144	48031	47953	48955	49817	50559	50337	50721	51074	52116	52436	53547	53873	53842	54595	55106	55071	54740	56059	56180	56993	57853	57736	58593	57994	58831	59575	59561	59945	59222	60111	60696	OVER	OVER	61197	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
F3	35770	31396	29096	26062	24094	22635	21303	19468	17823	15776	14489	13393	12699	12210	12028	12080	11781	11467	11860	11877	11728	11899	12067	12448	12234	12230	12621	13288	13934	14240	15118	15175	15717	16424	16575	16986	17201	18110	18092	18326	18981	20002	20291	20398	20631	21274	21556	22436	22774	23665	23690	24113	24280	25547	25451	26162	25988	27296	27237	28177	28647	29275	28902	30013	29773	31067	31126	31770	31993	33098	32515	33979	34534	34525	35240	35612	35657	36966	37594	38055	38128	39112	39713	40438	40571	41294	41638	42342	42144	42444	43472	43641	44662	45095	46024	45452	46284	46562	47353	47196	48906	49169	50138	50326	50811	50936	50940	52247	51852	52383	52757	53371	54264	55426	55476	54949	56253	57406	57399	58112	58240	58518	58709	59425	59905	59984	60160	60801	59897	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER	OVER
F4	38101	35333	33116	30640	28987	27696	25886	23883	21538	19111	17937	16937	16385	15901	15126	14718	14838	14194	14242	14128	14146	13896	13790	13889	13876	13440	13294	13476	13373	13339	13076	13045	12984	13001	13149	13319	13274	13071	12907	12374	12879	12721	12772	13031	12703	12626	12785	13188	12774	13159	12928	13071	13370	13212	13269	12797	13320	12814	12909	12763	12905	12983	12874	12815	13153	13102	13248	13185	12954	13305	13005	13075	12897	12823	12715	12923	12692	12769	13146	12923	13006	13057	13539	13100	12655	12979	13164	12939	12849	13134	13077	13071	13074	13176	13154	12918	12545	12723	12938	12905	12690	12763	12742	13072	13104	13132	13212	13117	12835	13261	12840	13039	12934	13007	13217	12772	13201	12929	12899	12748	12866	13267	12990	13273	12986	12906	12790	12991	12964	12732	13049	12924	13178	12782	13099	13128	13382	13254	13233	13365	13009	13203	12717	13201	12889	13128	12995	12969	13344	12855	13092	12838	12781	12981	13321	13097	13127	13138	13160	12738	12845	13106	13068	13370	13015	13075	13100	13297	13170	13144	13334	13138	13316	13468	13613	13268	13368	13333	13609	13493
F5	38663	35701	33702	31264	29521	27358	25516	22418	20906	19166	17409	17275	16754	15836	15433	14883	15039	14732	14768	14112	14507	14408	14019	14155	13899	13613	13758	13866	13472	13521	13623	13677	13321	13782	13325	13365	13045	13079	13267	13212	13729	13389	13620	13582	12970	13187	13214	13307	13743	13342	13187	13593	13145	13363	13468	13056	13453	13213	13286	13313	13267	13061	13601	13274	12935	13386	12970	13376	13421	13354	13502	13125	13447	13050	13243	13174	13108	13726	12912	13096	13042	13160	13066	13624	13054	12908	13192	13428	13057	13463	13258	13213	13825	13381	13056	13371	12721	13521	13426	13436	13404	13208	12964	13022	13239	13207	13109	13198	13476	13232	13185	13054	13404	13274	13291	13271	13229	13264	13235	13610	13395	13088	13586	13287	13632	13368	13468	13696	13417	13283	13539	13278	13355	13479	13100	13436	13063	13325	13354	13351	13285	13682	13576	13432	13579	13485	13365	14024	13587	13391	13182	13594	13405	13369	13639	13358	13055	13698	13096	13804	13546	13054	13341	13424	13288	13713	13163	13487	13344	13302	14018	13587	13442	13740	13768	13618	13518	13473	13606	13459
