Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
G8	41792	42260	41657	41936	41995	42066	42249	42264	41881	42304	42262	42493	42328	42179	42252	42194	42087	42638	42465	42416
G9	40365	40659	40661	40940	40975	40980	40920	40937	40975	41027	41066	41082	40821	40964	41098	40772	40909	40939	41062	40770
G10	7893	7688	7818	7890	7773	7727	7723	7715	7685	7667	7665	7583	7540	7704	7736	7476	7662	7535	7690	7424
G11	7459	7519	7548	7384	7430	7454	7504	7387	7412	7426	7334	7379	7167	7206	7407	7231	7448	7269	7390	7160
G12	8424	8526	8515	8575	8373	8473	8338	8281	8447	8326	8413	8394	8389	8413	8383	8434	8470	8359	8368	8383
H1	8138	8023	8030	7994	8016	8055	8052	7884	7985	8082	7993	7947	8036	8085	8006	8028	7886	7958	7974	7953
H2	45248	44981	45199	44976	44782	44620	44326	44366	44429	44002	43969	43638	43473	43455	43111	42726	42813	42975	42637	42736
H3	43783	44372	43708	42858	43327	42690	42551	42972	42239	42168	42097	42687	42209	42109	41563	41471	41744	41472	41152	40764
H4	44609	44414	44610	43690	44216	44106	43615	43662	43284	43338	43129	43123	42648	42845	42764	42515	42577	42686	42235	41709
H5	43657	43393	43389	43174	43013	42940	42335	42404	42091	42275	42559	42111	41853	41820	41712	41612	41875	41543	41252	40966
H6	41247	41253	40856	40511	40599	40757	40372	40091	40406	40119	40176	40053	39876	39423	39434	39205	39153	39118	38870	38762
H7	42590	42546	42209	41990	42058	41950	41078	41672	41801	41478	41304	40967	41146	40900	40768	40763	40242	40177	40503	40265
H8	40082	39884	39879	39938	39652	39533	39713	39378	39716	39192	39060	39166	39016	38818	38778	38461	38865	38646	38443	38217
H9	35929	36240	35437	35833	35440	35664	35500	35298	35439	35352	35014	34873	34939	34803	34865	34478	34389	34356	34258	34492
H10	7926	7803	7793	7667	7716	7684	7701	7769	7732	7604	7802	7708	7692	7693	7632	7665	7794	7691	7644	7608
H11	7998	7848	7896	7898	7899	7943	7839	7880	7890	8006	7792	7830	7767	7770	7813	7781	7938	7861	7837	7750
H12	7950	7987	7908	7982	7899	7994	7911	7952	7914	7856	7892	7784	7769	7818	7889	7785	7794	7827	7663	7722
