Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
G2	44817	44891	45422	45293	45706	46176	44571	45080	44941	44662	45194	44724	44779	44632	44522	44541	44011	43926	43782	43828
G3	40124	40226	40253	39294	40095	40323	40191	40040	40403	40240	40086	40365	40274	40302	40192	39949	39811	39732	40287	39579
G4	43374	42611	43278	43339	43294	43303	42837	42193	42643	42161	42390	42698	42638	41860	42035	41615	41590	41620	41826	41307
G5	42662	42739	43501	43308	42777	42566	42201	42485	42408	42255	42360	42313	42177	42274	42058	41912	41558	41817	41364	41519
G6	8738	8775	8690	8695	8518	8612	8697	8790	8581	8628	8610	8551	8772	8767	8437	8592	8674	8362	8453	8656
G7	17283	16860	16889	16510	16610	16687	16826	16469	16456	16683	16605	16497	16488	16440	16388	16068	16174	16294	16301	16235
G8	17007	16418	16577	16291	16346	16326	16437	16311	16154	16149	16098	16173	16322	16202	16086	16134	15919	15604	15987	15913
G9	16876	16360	16492	16470	16294	16665	16397	16449	16402	16357	16127	16447	16132	16246	15848	15791	15952	15930	15783	15904
G10	16147	16768	16629	16511	16550	16460	16443	16740	16496	16259	16470	16463	16272	16391	16129	16174	16008	16106	15740	15960
G11	9206	9004	8898	9019	9037	8775	9092	8989	8971	9123	9107	9085	8865	9002	9077	9063	9033	9069	9037	8978
G12	8907	8921	8830	8825	8913	8766	8865	8766	8830	8908	8835	8918	8824	8810	8934	8912	8805	8892	8810	8677
H1	8541	8549	8575	8527	8489	8486	8453	8329	8335	8516	8536	8359	8555	8475	8599	8476	8430	8531	8459	8400
H2	43010	42928	43513	43284	43489	43241	43245	43169	43006	43133	42738	42850	43235	43218	43011	42291	42533	42268	41734	41286
H3	36940	37356	37387	38183	37832	38131	38289	38186	38789	38685	38702	38800	38319	38862	38680	37660	37751	37209	37396	37533
H4	38937	39159	39709	39364	39567	39951	39920	40217	40033	39940	39939	40082	40231	39814	39916	39568	39597	38849	38767	38630
H5	40437	40481	41520	40821	41517	41571	41629	41873	41872	42146	42058	42240	41967	42032	41701	39969	40204	40233	40405	40099
H6	8737	8635	8799	8630	8667	8518	8560	8585	8537	8701	8504	8590	8526	8536	8641	8592	8678	8627	8724	8570
H7	15930	16333	16353	16012	15974	16149	16028	16150	16262	16118	15963	16081	15944	15809	15666	15543	15500	15123	15156	15090
H8	15464	15367	15521	15543	15450	15463	15416	15710	15709	15663	15637	15250	15454	15283	15058	14996	14895	14663	14603	14549
H9	16154	16277	15939	16183	15997	15890	15914	15912	16008	15921	16132	15951	15952	15860	15612	15724	15728	15687	15665	15738
H10	15323	15673	15603	15494	15140	15529	15612	15555	15702	15620	15441	15320	15225	15504	15167	15300	15028	15028	15046	14993
H11	8857	9062	8846	8825	8735	8763	8637	8658	8627	8600	8695	8852	8670	8852	8719	8601	9016	8745	8769	8720
H12	8813	8868	8849	8818	8890	8931	8664	8631	8593	8833	8952	8637	8777	8805	8591	8874	8845	8740	8723	8770
