AB19606,AB030,genes,STRING_names,gene_orthologs,unique_name,citation,gene_name,type,condition,medLFC,FDR,gene_name_stylized,Pathway
GO593_10160,IX87_18290,coaX,AIL80483.1,coaX,coaX,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.0345809991584339,0.999999999694819,italic('coaX'),
GO593_18430,IX87_06650,unknown,coq7,GO593_18430,coq7,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.104477506911173,0.999997814063132,italic('coq7'),
GO593_18430,IX87_06650,unknown,coq7,GO593_18430,coq7,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,0.018917003657707,1,italic('coq7'),
GO593_04055,IX87_11990,sdhE,cptB,sdhE,cptB,"",.,perfect,fosfomycin_T2_1 - none_T2_1a,-0.441253959160217,0.527098075772379,italic('cptB'),
GO593_04055,IX87_11990,sdhE,cptB,sdhE,cptB,"",.,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.0577662965772287,0.999999772851249,italic('cptB'),
GO593_18590,IX87_06820,cyoA,cyoA,cyoA,cyoA,"",cyoA,perfect,fosfomycin_T2_1 - none_T2_1a,-2.86368206018037,0.0963105325185073,italic('cyoA'),
GO593_18590,IX87_06820,cyoA,cyoA,cyoA,cyoA,"",cyoA,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.276141137814557,0.998424220545771,italic('cyoA'),
GO593_18595,IX87_06825,"cyoB, coxA",IX87_06825,cyoB,cyoB,"",cyoB,perfect,fosfomycin_T2_1 - none_T2_1a,-1.95470377232407,0.0616653355140824,italic('cyoB'),
GO593_18595,IX87_06825,"cyoB, coxA",IX87_06825,cyoB,cyoB,"",cyoB,mismatch,fosfomycin_T2_1 - none_T2_1a,-0.143037824218727,0.999696613906972,italic('cyoB'),
GO593_18600,IX87_06830,"cyoC, coIII",cyoC,cyoC,cyoC,"",cyoC,perfect,fosfomycin_T2_1 - none_T2_1a,-2.0931320767768,0.0393187600714812,italic('cyoC'),
GO593_18600,IX87_06830,"cyoC, coIII",cyoC,cyoC,cyoC,"",cyoC,mismatch,fosfomycin_T2_1 - none_T2_1a,-1.05654924115499,0.667578978474028,italic('cyoC'),
