condition	unique_name	AB19606	AB030	gene_mLFC	FDR
Colistin_0.44_T1 - None_0_T1	minE	GO593_10575	IX87_01760	0.0811016438690437	0.982324066197107
Colistin_0.44_T1 - None_0_T1	mnhC1	GO593_08225	IX87_16280	0.0468624479753853	0.974294693268591
Colistin_0.44_T1 - None_0_T1	mnmA	GO593_01330	IX87_08855	-0.108935896687525	0.99654296867818
Colistin_0.44_T1 - None_0_T1	moaE	GO593_17870	IX87_21800	-0.0612459877945133	0.999517171001048
Colistin_0.44_T1 - None_0_T1	mraY	GO593_04790	IX87_12830	-0.134632551061123	0.937967197735179
Colistin_0.44_T1 - None_0_T1	mrpF	GO593_08210	IX87_16265	-0.0352463492841474	0.999693092374138
Colistin_0.44_T1 - None_0_T1	msbA	GO593_15475	IX87_02345	-1.03683186048227	8.05661604650004e-09
Colistin_0.44_T1 - None_0_T1	mtcA2	GO593_11270	IX87_00610	0.0307805260461489	0.996435636979819
Colistin_0.44_T1 - None_0_T1	murA	GO593_09595	IX87_17660	-6.63060293025227	3.84386047548012e-26
Colistin_0.44_T1 - None_0_T1	murB	GO593_17990	IX87_06200	-0.0169158193772201	0.187248580848001
Colistin_0.44_T1 - None_0_T1	murC	GO593_05505	IX87_13705	-1.60717185288825	0.00204555885682297
Colistin_0.44_T1 - None_0_T1	murD	GO593_07755	IX87_15780	0.0961859989600125	0.987901523929673
Colistin_0.44_T1 - None_0_T1	murE	GO593_04800	IX87_12840	-2.53966342481472	2.04774212482223e-09
Colistin_0.44_T1 - None_0_T1	murF	GO593_04795	IX87_12835	-3.64294000189805	1.83383502230208e-11
Colistin_0.44_T1 - None_0_T1	murG	GO593_05510	IX87_13710	-5.83801999250821	9.67488868016691e-18
Colistin_0.44_T1 - None_0_T1	murJ	GO593_06815	IX87_14820	-0.739332364212877	0.104363996559725
Colistin_0.44_T1 - None_0_T1	nadE	GO593_10480	IX87_01870	-0.947441226157781	3.12039718235198e-07
Colistin_0.44_T1 - None_0_T1	nadM	GO593_01880	IX87_09395	-0.0589658109764966	0.956412768123476
Colistin_0.44_T1 - None_0_T1	ndk	GO593_09040	IX87_17090	0.0221727879519538	0.999468038453678
Colistin_0.44_T1 - None_0_T1	ninH	GO593_13310	IX87_06920	-0.0364178566586054	0.999867831176322
Colistin_0.44_T1 - None_0_T1	nphR2	GO593_03265	IX87_11135	-2.36582870198577	5.99506508339984e-12
Colistin_0.44_T1 - None_0_T1	nrdA	GO593_09915	IX87_18015	-1.62794184509796	0.00183761174406703
Colistin_0.44_T1 - None_0_T1	nrdB	GO593_09905	IX87_18005	-0.799762138351402	0.231725467582046
Colistin_0.44_T1 - None_0_T1	nuoA	GO593_09945	IX87_18075	-1.72590406018218	5.08120232829518e-13
Colistin_0.44_T1 - None_0_T1	nuoB	GO593_09950	IX87_18080	-2.12651789154971	2.16470758650403e-15
Colistin_0.44_T1 - None_0_T1	nuoD	GO593_09955	IX87_18085	-2.09297933367943	6.48631962232317e-08
Colistin_0.44_T1 - None_0_T1	nuoE	GO593_09960	IX87_18090	-1.23124743254058	1.58614020805457e-09
Colistin_0.44_T1 - None_0_T1	nuoF	GO593_09965	IX87_18095	-2.24862800482175	2.11249875941774e-18
